Assembly_Accession,Taxonomy,SNOR_presence,SNOR_copies
GCA_002120315.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon sp. CI-4A,TRUE,1
GCA_002120335.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon sp. EC38,TRUE,1
GCA_030247855.1,Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Knufia;Knufia peltigerae,TRUE,1
GCF_001417885.1,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;Kluyveromyces marxianus,TRUE,1
GCF_025201355.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Halteromyces;Halteromyces radiatus,TRUE,1
GCA_025094145.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Phycomycetaceae;Spinellus;Spinellus fusiger,TRUE,1
GCA_025677835.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Sporodiniella;Sporodiniella umbellata,FALSE,0
GCA_025528865.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Pilobolaceae;Pilobolus;Pilobolus umbonatus,TRUE,1
GCA_025201345.1,Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Thamnidium;Thamnidium elegans,TRUE,1
GCF_020647865.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma asperellum,TRUE,1
GCA_029282495.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena albidolilacea,FALSE,0
GCA_029289555.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena latifolia,TRUE,1
GCA_029378255.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena rosella,TRUE,1
GCA_029204335.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena vulgaris,TRUE,1
GCA_000447185.1,Fungi;Microsporidia;NA;NA;Nosematidae;Vairimorpha;Vairimorpha apis,FALSE,0
GCF_000721785.1,Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium;Aureobasidium pullulans,TRUE,1
GCF_000721755.1,Fungi;Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium;Aureobasidium subglaciale,TRUE,1
GCA_040822045.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia;Hohenbuehelia grisea,TRUE,1
GCA_010094025.1,Fungi;Ascomycota;Dothideomycetes;Trypetheliales;Trypetheliaceae;Viridothelium;Viridothelium virens,TRUE,1
GCA_010583015.1,Fungi;Ascomycota;Dothideomycetes;Venturiales;Cylindrosympodiaceae;Tothia;Tothia fuscella,TRUE,1
GCF_003724135.2,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Verticillium;Verticillium nonalfalfae,TRUE,1
GCA_000827465.1,Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Tulasnellaceae;Tulasnella;Tulasnella calospora,TRUE,1
GCA_027478445.1,Fungi;Zoopagomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Coemansia;Coemansia asiatica,TRUE,1
GCA_013266195.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium zealandicum,TRUE,1
GCA_003850985.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus awamori,TRUE,2
GCA_000739165.1,Fungi;Mucoromycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila;Podila verticillata,TRUE,1
GCF_000349005.2,Fungi;Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis;Pneumocystis murina,FALSE,0
GCF_023601865.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus affinis,TRUE,1
GCF_000315915.1,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Henningerozyma;Henningerozyma blattae,FALSE,0
GCF_000304475.1,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania africana,TRUE,1
GCF_000348985.1,Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Huiozyma;Huiozyma naganishii,TRUE,1
GCF_001890725.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus wentii,TRUE,1
GCF_001890105.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicilliopsis;Penicilliopsis zonata,TRUE,1
GCA_002760635.1,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Ganoderma;Ganoderma sinense,TRUE,1
GCA_017365405.1,Fungi;Ascomycota;Leotiomycetes;Helotiales;Ploettnerulaceae;Cadophora;Cadophora malorum,TRUE,1
GCF_001636725.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Cordyceps;Cordyceps fumosorosea,TRUE,1
GCA_001636795.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Akanthomyces;Akanthomyces lecanii,TRUE,1
GCA_045999785.1,Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Phlyctema;Phlyctema vagabunda,TRUE,1
GCA_022578945.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon fuscum,TRUE,1
GCF_004353045.1,Fungi;Ascomycota;Sordariomycetes;NA;Thyridiaceae;Thyridium;Thyridium curvatum,TRUE,1
GCF_011947395.1,Fungi;Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum karsti,TRUE,1
GCF_002865645.1,Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Hyaloscypha;Hyaloscypha bicolor,TRUE,1
GCA_015499995.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Flammula;Flammula alnicola,TRUE,1
GCA_015484465.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Pholiota;Pholiota conissans,TRUE,1
GCA_027600665.1,Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytridiaceae;Irineochytrium;Irineochytrium annulatum,TRUE,1
GCA_027603065.1,Fungi;Chytridiomycota;Chytridiomycetes;Spizellomycetales;Powellomycetaceae;Geranomyces;Geranomyces variabilis,FALSE,0
GCA_025765595.1,Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Obelidium;Obelidium mucronatum,TRUE,1
GCA_013396095.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;Fusarium sp. NRRL 52700,TRUE,1
GCA_023159155.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Ustulina;Ustulina deusta,TRUE,1
GCA_032433595.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Conoideocrella;Conoideocrella luteorostrata,TRUE,1
GCA_022695795.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Biscogniauxia;Biscogniauxia marginata,FALSE,0
GCA_029590615.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Nemania;Nemania bipapillata,TRUE,1
GCA_021527775.1,Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius;Lactarius sanguifluus,TRUE,1
GCA_022385755.1,Fungi;Basidiomycota;Agaricomycetes;Polyporales;Irpicaceae;Trametopsis;Trametopsis cervina,TRUE,1
GCF_020360975.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Hirsutella;Hirsutella rhossiliensis,TRUE,1
GCA_026025805.1,Fungi;Ascomycota;NA;Thelocarpales;Thelocarpaceae;Thelocarpon;Thelocarpon impressellum,TRUE,1
GCA_910591825.1,Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Funneliformis;Funneliformis caledonium,TRUE,1
GCF_014066305.1,Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Letharia;Letharia columbiana,TRUE,1
GCA_015179125.1,Fungi;Basidiomycota;Agaricomycetes;Gomphales;Gautieriaceae;Gautieria;Gautieria morchelliformis,TRUE,1
GCA_033296725.1,Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Corynascus;Corynascus novoguineensis,TRUE,1
GCA_000934395.1,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Fistulinaceae;Fistulina;Fistulina hepatica,TRUE,1
GCF_000320785.1,Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula toruloides,TRUE,1
GCF_028827165.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium cosmopolitanum,TRUE,2
GCA_001578225.1,Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Pseudocercospora;Pseudocercospora musae,FALSE,0
GCA_041956725.1,Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Thermocarpiscus;Thermocarpiscus australiensis,TRUE,1
GCF_002105095.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Pseudomassariaceae;Pseudomassariella;Pseudomassariella vexata,TRUE,1
GCA_022495115.1,Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylaria;Xylaria castorea,TRUE,1
GCF_042370625.1,Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Thermothelomyces;Thermothelomyces heterothallicus,TRUE,1
GCF_010094145.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;Didymella exigua,TRUE,1
GCF_001890805.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus glaucus,TRUE,1
GCA_001189435.1,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Tolypocladium;Tolypocladium ophioglossoides,TRUE,1
GCF_028828045.1,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium odoratum,FALSE,0
GCA_010405425.1,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lentitheciaceae;Lentithecium;Lentithecium fluviatile,TRUE,1
