Assembly_Accession,Organism_Name
GCF_037993035.2,Macaca fascicularis
GCF_019923935.1,Bubalus bubalis
GCF_028858775.2,Pan troglodytes
GCF_029281585.2,Gorilla gorilla gorilla
GCF_028885625.2,Pongo pygmaeus
GCF_028878055.3,Symphalangus syndactylus
GCF_000001405.40,Homo sapiens
GCF_000001635.27,Mus musculus
GCF_036323735.1,Rattus norvegicus
GCF_000003025.6,Sus scrofa
GCF_002263795.3,Bos taurus
GCF_011100685.1,Canis lupus familiaris
GCF_003254725.2,Canis lupus dingo
GCF_048164855.1,Canis lupus baileyi
GCF_003339765.1,Macaca mulatta
GCF_016772045.2,Ovis aries
GCF_001704415.2,Capra hircus
GCF_964237555.1,Oryctolagus cuniculus
GCF_041296265.1,Equus caballus
GCF_018350175.1,Felis catus
GCF_003668045.3,Cricetulus griseus
GCF_029378745.1,Bos indicus
GCF_011100555.1,Callithrix jacchus
GCF_047675955.1,Chlorocebus sabaeus
GCF_011064425.1,Rattus rattus
GCF_027887165.1,Monodelphis domestica
GCF_008728515.1,Papio anubis
GCF_043159975.1,Macaca nemestrina
GCF_016881025.1,Ictidomys tridecemlineatus
GCF_041296235.1,Equus asinus
GCF_002007445.2,Ailuropoda melanoleuca
GCF_011762595.2,Tursiops truncatus
GCF_003704035.1,Peromyscus maniculatus bairdii
GCF_004115265.2,Rhinolophus ferrumequinum
GCF_024166365.1,Elephas maximus indicus
GCF_018350195.1,Panthera tigris
GCF_036321535.1,Camelus dromedarius
GCF_028372415.1,Notamacropus eugenii
GCF_020171115.1,Neogale vison
GCF_902635505.1,Sarcophilus harrisii
GCF_003369695.1,Bos indicus x Bos taurus
GCF_048564905.1,Vicugna pacos
GCF_030254825.1,Meriones unguiculatus
GCF_000317375.1,Microtus ochrogaster
GCF_040802235.1,Manis javanica
GCF_048418805.1,Vulpes vulpes
GCF_030445035.2,Dasypus novemcinctus
GCF_030014295.1,Loxodonta africana
GCF_004664715.2,Peromyscus leucopus
GCA_949782905.1,Rangifer tarandus platyrhynchus
GCF_004115215.2,Ornithorhynchus anatinus
GCF_023065955.2,Ursus arctos
GCF_007565055.1,Rhinopithecus roxellana
GCF_910594005.1,Cervus elaphus
GCF_028885655.2,Pongo abelii
GCF_027580195.1,Bos mutus
GCF_018345385.1,Vulpes lagopus
GCF_030020395.1,Manis pentadactyla
